id,host_id,name,neighbourhood_cleansed,cluster_kmeans
897447,4788029,"Cozy near, airp., city center, +bikes.",Amager Vest,4
897887,2154085,"Quiet and hipster - Room,Vesterbro",Vesterbro-Kongens Enghave,3
907655,4688480,Amazing apartment next to the Metro,Frederiksberg,2
909806,3604803,City View - 90 sqm - Beach/Metro,Amager st,4
911298,4586499,"Uniqe, cosy, modern,Christianshavn",Indre By,1
926867,4987386,Vesterbro apartment with everything,Vesterbro-Kongens Enghave,4
927228,2893215,"Great apartment in great location,.",Vesterbro-Kongens Enghave,3
935417,3328135,Charme and comfort in Copenhagen - Private balcony,Indre By,0
935427,5046899,Beautiful apartment close to Christianshavn,Amager Vest,0
936678,5056699,Charming apartment in a quiet area,Frederiksberg,4
936913,5056699,"Charming room, central & very quiet",Frederiksberg,0
938427,5036171,Child-friendly villa apt. w. garden,Frederiksberg,1
940284,4252325,★ Couple's getaway ★ Balcony. Walk everywhere,Indre By,0
941879,5093093,Colorful family home with garden (ground level),Amager st,4
944950,746345,Islands Brygge - absolute best of Copenhagen,Amager Vest,4
946970,4857790,Sunny apartment on beautiful square,Nrrebro,0
947057,1646443,Nice 5-room apartment on Vesterbro,Vesterbro-Kongens Enghave,1
956091,2492967,Lovely room close to Bella Center and Royal Arena,Amager Vest,0
956185,5135504,"Heart of CPH, balcony + 4 rooms",Indre By,1
964454,5268258,Charming place in the old center,Indre By,0
970924,502676,Perfect family house city and beach,Amager st,4
973198,5319963,Charming central townhouse,Indre By,2
976307,3384513,Unique apartment with lake view,Indre By,1
979023,5358900,Beautiful family apartment,Nrrebro,1
979445,4949128,Near metro & subway: 2 grownups + 2 fold-out beds,Vanlse,0
1000542,5501209,Charming appartment in Copenhagen,Bispebjerg,4
1001057,5504729,"Inviting, authentic & central flat.",Nrrebro,4
1004613,5525766,Cozy apartment close to the parks,Vesterbro-Kongens Enghave,4
1011794,5565815,Spacious&sunny with harbor view -only for families,Amager Vest,1
1011997,5489618,Classic villa in quiet scenic area,Brnshj-Husum,2
1025486,5027587,A Unique Oasis Vesterbro Copenhagen,Vesterbro-Kongens Enghave,3
1031031,5674202,Cosy house on quiet adress,Brnshj-Husum,2
1031467,5676416,Lovely light 100 m2 villa apartment,sterbro,4
1038484,550913,Charming backyard house.,Frederiksberg,4
1040628,5729534,Spacious Penthouse flat in Nørrebro,Nrrebro,4
1047013,4772839,Central urban house with garden,Frederiksberg,4
1055005,5809634,"Københavns bedste kvarter, med have",sterbro,0
1057350,5823976,"Copenhagen, close to everything :-)",Nrrebro,4
1062585,5712234,Three rooms with large patio,Valby,4
1066680,3380231,"100 m2 ""penthouse"" like apartment",Frederiksberg,1
1076510,5923265,Spacious apartment with personality,Amager Vest,1
1079829,5939718,Great location - stylish apartment,Indre By,1
1083039,5954516,Cosy apt in the heart of Copenhagen,Nrrebro,4
1085429,5967054,Lovely house in Copenhagen,Valby,2
1094015,5285165,Spacious apartment - perfect for families,Nrrebro,4
1097273,1693799,In the heart of trendy Vesterbro,Vesterbro-Kongens Enghave,3
1103984,4272794,FEEL AT HOME - Close to city & sea,Amager st,2
1105487,5219694,"Apartment 3 room, balcony, central",Frederiksberg,0
1107046,6077783,· Central Sunlit Penthouse fits 3 ·,sterbro,4
1112645,6106477,Homely! Family-friendly! Central! With Balcony;),Vesterbro-Kongens Enghave,1
